,Month,ACT_n,NSW_n,NT_n,Qld_n,SA_n,Tas_n,Vic_n,WA_n,Aust_n,ACT_rate,NSW_rate,NT_rate,Qld_rate,SA_rate,Tas_rate,Vic_rate,WA_rate,Aust_rate,,,,,,,,,,
Hepatitis B (newly acquired),Oct-19,0,1,0,6,0,1,6,2,16,0,0,0,0.1,0,0.2,0.1,0.1,0.1,,,,,,,,,,
Hepatitis B (unspecified),Oct-19,11,199,2,88,34,8,139,36,517,2.6,2.5,0.8,1.7,1.9,1.5,2.1,1.4,2,,,,,,,,,,
Hepatitis C (newly acquired),Oct-19,2,0,0,75,1,0,3,8,89,0.5,0,0,1.5,0.1,0,0,0.3,0.4,,,,,,,,,,
Hepatitis C (unspecified),Oct-19,17,262,8,154,28,13,149,68,699,4,3.2,3.3,3,1.6,2.4,2.3,2.6,2.8,,,,,,,,,,
Hepatitis D,Oct-19,1,3,0,3,1,0,0,0,8,0.2,0,0,0.1,0.1,0,0,0,0,,,,,,,,,,
Botulism,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Oct-19,82,1039,34,949,295,127,752,372,3650,19.2,12.9,13.8,18.6,16.8,23.8,11.4,14.2,21.1,,,,,,,,,,
Cryptosporidiosis,Oct-19,1,36,7,41,13,7,44,13,162,0.2,0.4,2.8,0.8,0.7,1.3,0.7,0.5,0.6,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Oct-19,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Oct-19,0,6,0,0,0,0,8,4,18,0,0.1,0,0,0,0,0.1,0.2,0.1,,,,,,,,,,
Hepatitis E,Oct-19,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Oct-19,0,3,0,0,1,0,1,0,5,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Paratyphoid,Oct-19,0,3,0,0,0,0,5,1,9,0,0,0,0,0,0,0.1,0,0,,,,,,,,,,
STEC,Oct-19,0,11,0,1,32,0,16,13,73,0,0.1,0,0,1.8,0,0.2,0.5,0.3,,,,,,,,,,
Salmonellosis,Oct-19,18,289,41,290,119,18,276,215,1266,4.2,3.6,16.7,5.7,6.8,3.4,4.2,8.2,5,,,,,,,,,,
Shigellosis,Oct-19,5,86,27,50,16,0,57,29,270,1.2,1.1,11,1,0.9,0,0.9,1.1,1.1,,,,,,,,,,
Typhoid Fever,Oct-19,0,3,0,0,0,0,4,1,8,0,0,0,0,0,0,0.1,0,0,,,,,,,,,,
Legionellosis,Oct-19,0,12,0,3,4,5,19,3,46,0,0.1,0,0.1,0.2,0.9,0.3,0.1,0.2,,,,,,,,,,
Leprosy,Oct-19,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Oct-19,0,3,0,4,3,0,3,2,15,0,0,0,0.1,0.2,0,0,0.1,0.1,,,,,,,,,,
Tuberculosis,Oct-19,3,68,1,13,4,0,49,11,149,0.7,0.8,0.4,0.3,0.2,0,0.7,0.4,0.6,,,,,,,,,,
COVID-19,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Oct-19,146,2989,272,2154,568,115,739,1035,8018,34.3,37,110.5,42.3,32.4,21.5,11.2,39.5,31.6,,,,,,,,,,
Donovanosis,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Oct-19,22,994,107,536,183,21,720,304,2887,5.2,12.3,43.5,10.5,10.4,3.9,10.9,11.6,11.4,,,,,,,,,,
Syphilis < 2 years,Oct-19,5,174,27,111,15,2,134,46,514,1.2,2.2,11,2.2,0.9,0.4,2,1.8,2,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Oct-19,1,59,13,29,13,1,97,19,232,0.2,0.7,5.3,0.6,0.7,0.2,1.5,0.7,0.9,,,,,,,,,,
Syphilis congenital,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Oct-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Oct-19,92,2258,85,1696,794,156,2953,222,8256,21.6,27.9,34.5,33.3,45.3,29.2,44.8,8.5,32.6,,,,,,,,,,
Measles,Oct-19,0,0,1,30,0,0,3,13,47,0,0,0.4,0.6,0,0,0,0.5,0.2,,,,,,,,,,
Mumps,Oct-19,0,5,0,3,0,0,0,4,12,0,0.1,0,0.1,0,0,0,0.2,0,,,,,,,,,,
Pertussis,Oct-19,19,537,2,143,21,35,218,45,1020,4.5,6.6,0.8,2.8,1.2,6.5,3.3,1.7,4,,,,,,,,,,
Pneumococcal disease (invasive),Oct-19,4,72,5,36,15,3,42,23,200,0.9,0.9,2,0.7,0.9,0.6,0.6,0.9,0.8,,,,,,,,,,
Poliovirus infection,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Oct-19,6,247,10,472,95,15,73,51,969,1.4,3.1,4.1,9.3,5.4,2.8,1.1,1.9,3.8,,,,,,,,,,
Rubella,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Oct-19,27,NN,12,179,57,4,115,51,445,6.3,NN,4.9,3.5,3.3,0.7,1.7,1.9,1.8,,,,,,,,,,
Varicella zoster (shingles),Oct-19,43,NN,50,698,290,44,216,229,1570,10.1,NN,20.3,13.7,16.5,8.2,3.3,8.7,6.2,,,,,,,,,,
Varicella zoster (unspecified),Oct-19,12,NN,0,46,17,18,792,116,1001,2.8,NN,0,0.9,1,3.4,12,4.4,3.9,,,,,,,,,,
Barmah Forest virus infection,Oct-19,0,5,1,13,0,0,2,0,21,0,0.1,0.4,0.3,0,0,0,0,0.1,,,,,,,,,,
Chikungunya virus infection,Oct-19,0,7,0,2,0,0,4,0,13,0,0.1,0,0,0,0,0.1,0,0.1,,,,,,,,,,
Dengue virus infection,Oct-19,4,50,3,15,8,1,1,19,101,0.9,0.6,1.2,0.3,0.5,0.2,0,0.7,0.4,,,,,,,,,,
Flavivirus infection (unspecified),Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Oct-19,1,9,0,11,0,0,7,9,37,0.2,0.1,0,0.2,0,0,0.1,0.3,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Oct-19,1,30,14,107,1,0,4,27,184,0.2,0.4,5.7,2.1,0.1,0,0.1,1,0.7,,,,,,,,,,
West Nile/Kunjin virus infection,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Oct-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Oct-19,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Oct-19,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Oct-19,0,28,1,23,0,2,9,0,63,0,0.3,0.4,0.5,0,0.4,0.1,0,0.2,,,,,,,,,,
Tularaemia,Oct-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Sep-19,0,2,0,4,0,0,3,1,10,0,0,0,0.1,0,0,0,0,0,,,,,,,,,,
Hepatitis B (unspecified),Sep-19,6,171,5,63,16,4,146,28,439,1.4,2.1,2,1.2,0.9,0.7,2.2,1.1,1.7,,,,,,,,,,
Hepatitis C (newly acquired),Sep-19,1,3,1,53,2,1,3,13,77,0.2,0,0.4,1,0.1,0.2,0,0.5,0.3,,,,,,,,,,
Hepatitis C (unspecified),Sep-19,7,272,9,157,28,12,136,49,670,1.6,3.4,3.7,3.1,1.6,2.2,2.1,1.9,2.6,,,,,,,,,,
Hepatitis D,Sep-19,0,1,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0.1,0,,,,,,,,,,
Botulism,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Sep-19,54,804,35,722,298,86,631,313,2943,12.7,9.9,14.2,14.2,17,16.1,9.6,11.9,17,,,,,,,,,,
Cryptosporidiosis,Sep-19,2,23,3,31,10,2,44,12,127,0.5,0.3,1.2,0.6,0.6,0.4,0.7,0.5,0.5,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Sep-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Sep-19,0,2,0,2,0,0,8,0,12,0,0,0,0,0,0,0.1,0,0,,,,,,,,,,
Hepatitis E,Sep-19,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Sep-19,0,3,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Sep-19,0,1,0,0,1,0,3,0,5,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
STEC,Sep-19,0,4,0,4,18,0,2,9,37,0,0,0,0.1,1,0,0,0.3,0.1,,,,,,,,,,
Salmonellosis,Sep-19,20,204,31,186,85,11,239,134,910,4.7,2.5,12.6,3.7,4.9,2.1,3.6,5.1,3.6,,,,,,,,,,
Shigellosis,Sep-19,3,65,23,49,9,1,38,18,206,0.7,0.8,9.3,1,0.5,0.2,0.6,0.7,0.8,,,,,,,,,,
Typhoid Fever,Sep-19,0,6,0,1,1,0,5,0,13,0,0.1,0,0,0.1,0,0.1,0,0.1,,,,,,,,,,
Legionellosis,Sep-19,1,11,0,9,7,2,12,4,46,0.2,0.1,0,0.2,0.4,0.4,0.2,0.2,0.2,,,,,,,,,,
Leprosy,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Sep-19,0,12,0,3,2,0,2,4,23,0,0.1,0,0.1,0.1,0,0,0.2,0.1,,,,,,,,,,
Tuberculosis,Sep-19,1,50,0,20,13,0,28,14,126,0.2,0.6,0,0.4,0.7,0,0.4,0.5,0.5,,,,,,,,,,
COVID-19,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Sep-19,128,2564,256,1995,502,128,1947,814,8334,30,31.7,104,39.2,28.6,23.9,29.5,31,32.9,,,,,,,,,,
Donovanosis,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Sep-19,24,948,106,515,136,13,678,257,2677,5.6,11.7,43.1,10.1,7.8,2.4,10.3,9.8,10.6,,,,,,,,,,
Syphilis < 2 years,Sep-19,4,167,38,94,16,0,126,44,489,0.9,2.1,15.4,1.8,0.9,0,1.9,1.7,1.9,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Sep-19,3,69,13,26,9,3,96,24,243,0.7,0.9,5.3,0.5,0.5,0.6,1.5,0.9,1,,,,,,,,,,
Syphilis congenital,Sep-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Sep-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Sep-19,0,0,0,0,1,0,0,0,1,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Sep-19,460,11550,132,10295,1582,364,8721,404,33508,107.9,142.8,53.6,202.2,90.3,68.1,132.3,15.4,132.1,,,,,,,,,,
Measles,Sep-19,0,8,0,4,0,0,2,15,29,0,0.1,0,0.1,0,0,0,0.6,0.1,,,,,,,,,,
Mumps,Sep-19,0,4,0,3,1,1,1,5,15,0,0,0,0.1,0.1,0.2,0,0.2,0.1,,,,,,,,,,
Pertussis,Sep-19,21,509,1,161,27,47,243,26,1035,4.9,6.3,0.4,3.2,1.5,8.8,3.7,1,4.1,,,,,,,,,,
Pneumococcal disease (invasive),Sep-19,7,72,2,44,27,5,57,24,238,1.6,0.9,0.8,0.9,1.5,0.9,0.9,0.9,0.9,,,,,,,,,,
Poliovirus infection,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Sep-19,7,202,0,589,73,5,56,63,995,1.6,2.5,0,11.6,4.2,0.9,0.8,2.4,3.9,,,,,,,,,,
Rubella,Sep-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Sep-19,40,NN,12,196,36,6,100,42,432,9.4,NN,4.9,3.8,2.1,1.1,1.5,1.6,1.7,,,,,,,,,,
Varicella zoster (shingles),Sep-19,38,NN,45,617,274,39,193,174,1380,8.9,NN,18.3,12.1,15.6,7.3,2.9,6.6,5.4,,,,,,,,,,
Varicella zoster (unspecified),Sep-19,19,NN,0,40,17,24,773,96,969,4.5,NN,0,0.8,1,4.5,11.7,3.7,3.8,,,,,,,,,,
Barmah Forest virus infection,Sep-19,0,3,0,8,1,0,0,0,12,0,0,0,0.2,0.1,0,0,0,0,,,,,,,,,,
Chikungunya virus infection,Sep-19,0,2,0,1,0,0,5,1,9,0,0,0,0,0,0,0.1,0,0,,,,,,,,,,
Dengue virus infection,Sep-19,1,32,2,18,4,2,9,14,82,0.2,0.4,0.8,0.4,0.2,0.4,0.1,0.5,0.3,,,,,,,,,,
Flavivirus infection (unspecified),Sep-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Sep-19,1,4,3,10,2,0,5,2,27,0.2,0,1.2,0.2,0.1,0,0.1,0.1,0.1,,,,,,,,,,
Murray Valley encephalitis virus infection,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Sep-19,0,40,8,77,4,0,7,27,163,0,0.5,3.3,1.5,0.2,0,0.1,1,0.6,,,,,,,,,,
West Nile/Kunjin virus infection,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Sep-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Sep-19,0,0,1,4,0,0,1,0,6,0,0,0.4,0.1,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Sep-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Sep-19,1,19,0,23,0,1,5,0,49,0.2,0.2,0,0.5,0,0.2,0.1,0,0.2,,,,,,,,,,
Tularaemia,Sep-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Aug-19,0,1,0,4,2,0,2,0,9,0,0,0,0.1,0.1,0,0,0,0,,,,,,,,,,
Hepatitis B (unspecified),Aug-19,10,188,3,74,35,5,145,40,500,2.3,2.3,1.2,1.5,2,0.9,2.2,1.5,2,,,,,,,,,,
Hepatitis C (newly acquired),Aug-19,0,2,0,45,1,1,4,14,67,0,0,0,0.9,0.1,0.2,0.1,0.5,0.3,,,,,,,,,,
Hepatitis C (unspecified),Aug-19,4,316,7,167,25,16,141,83,759,0.9,3.9,2.8,3.3,1.4,3,2.1,3.2,3,,,,,,,,,,
Hepatitis D,Aug-19,0,1,0,0,1,0,1,0,3,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Botulism,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Aug-19,35,798,35,656,310,73,608,342,2857,8.2,9.9,14.2,12.9,17.7,13.7,9.2,13,16.5,,,,,,,,,,
Cryptosporidiosis,Aug-19,1,16,9,27,16,0,51,10,130,0.2,0.2,3.7,0.5,0.9,0,0.8,0.4,0.5,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Aug-19,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,
Hepatitis A,Aug-19,1,5,0,2,2,1,8,0,19,0.2,0.1,0,0,0.1,0.2,0.1,0,0.1,,,,,,,,,,
Hepatitis E,Aug-19,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Aug-19,0,1,0,1,0,0,3,2,7,0,0,0,0,0,0,0,0.1,0,,,,,,,,,,
Paratyphoid,Aug-19,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
STEC,Aug-19,0,4,1,2,20,0,6,8,41,0,0,0.4,0,1.1,0,0.1,0.3,0.2,,,,,,,,,,
Salmonellosis,Aug-19,8,195,22,156,80,11,218,119,809,1.9,2.4,8.9,3.1,4.6,2.1,3.3,4.5,3.2,,,,,,,,,,
Shigellosis,Aug-19,3,61,17,47,21,0,41,40,230,0.7,0.8,6.9,0.9,1.2,0,0.6,1.5,0.9,,,,,,,,,,
Typhoid Fever,Aug-19,2,6,1,3,1,0,9,2,24,0.5,0.1,0.4,0.1,0.1,0,0.1,0.1,0.1,,,,,,,,,,
Legionellosis,Aug-19,0,11,0,5,7,0,14,2,39,0,0.1,0,0.1,0.4,0,0.2,0.1,0.2,,,,,,,,,,
Leprosy,Aug-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Aug-19,0,9,0,11,6,1,3,1,31,0,0.1,0,0.2,0.3,0.2,0,0,0.1,,,,,,,,,,
Tuberculosis,Aug-19,0,50,3,19,6,1,44,10,133,0,0.6,1.2,0.4,0.3,0.2,0.7,0.4,0.5,,,,,,,,,,
COVID-19,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Cholera,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Aug-19,137,2753,258,2039,564,147,2239,966,9103,32.1,34,104.8,40,32.2,27.5,34,36.8,35.9,,,,,,,,,,
Donovanosis,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Aug-19,23,1018,99,448,184,12,731,317,2832,5.4,12.6,40.2,8.8,10.5,2.2,11.1,12.1,11.2,,,,,,,,,,
Syphilis < 2 years,Aug-19,9,164,38,88,20,1,146,53,519,2.1,2,15.4,1.7,1.1,0.2,2.2,2,2,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Aug-19,1,81,9,24,24,1,82,19,241,0.2,1,3.7,0.5,1.4,0.2,1.2,0.7,1,,,,,,,,,,
Syphilis congenital,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Aug-19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Aug-19,1016,25701,136,19227,1466,562,11936,1022,61066,238.4,317.9,55.3,377.6,83.7,105.1,181,39,240.8,,,,,,,,,,
Measles,Aug-19,0,8,0,1,0,0,5,1,15,0,0.1,0,0,0,0,0.1,0,0.1,,,,,,,,,,
Mumps,Aug-19,0,9,0,1,1,0,3,4,18,0,0.1,0,0,0.1,0,0,0.2,0.1,,,,,,,,,,
Pertussis,Aug-19,36,560,3,166,26,29,204,32,1056,8.4,6.9,1.2,3.3,1.5,5.4,3.1,1.2,4.2,,,,,,,,,,
Pneumococcal disease (invasive),Aug-19,2,89,5,42,22,8,47,32,247,0.5,1.1,2,0.8,1.3,1.5,0.7,1.2,1,,,,,,,,,,
Poliovirus infection,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Aug-19,6,169,3,229,49,8,41,60,565,1.4,2.1,1.2,4.5,2.8,1.5,0.6,2.3,2.2,,,,,,,,,,
Rubella,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Aug-19,26,NN,12,191,47,4,124,72,476,6.1,NN,4.9,3.8,2.7,0.7,1.9,2.7,1.9,,,,,,,,,,
Varicella zoster (shingles),Aug-19,39,NN,31,654,264,24,161,178,1351,9.2,NN,12.6,12.8,15.1,4.5,2.4,6.8,5.3,,,,,,,,,,
Varicella zoster (unspecified),Aug-19,12,NN,0,46,9,16,805,107,995,2.8,NN,0,0.9,0.5,3,12.2,4.1,3.9,,,,,,,,,,
Barmah Forest virus infection,Aug-19,0,3,1,13,0,0,0,3,20,0,0,0.4,0.3,0,0,0,0.1,0.1,,,,,,,,,,
Chikungunya virus infection,Aug-19,0,3,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0.1,0,,,,,,,,,,
Dengue virus infection,Aug-19,3,30,3,12,2,2,19,25,96,0.7,0.4,1.2,0.2,0.1,0.4,0.3,1,0.4,,,,,,,,,,
Flavivirus infection (unspecified),Aug-19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Aug-19,2,10,2,12,4,0,8,3,41,0.5,0.1,0.8,0.2,0.2,0,0.1,0.1,0.2,,,,,,,,,,
Murray Valley encephalitis virus infection,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Aug-19,0,39,9,109,3,1,15,36,212,0,0.5,3.7,2.1,0.2,0.2,0.2,1.4,0.8,,,,,,,,,,
West Nile/Kunjin virus infection,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Aug-19,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Aug-19,0,0,0,4,0,0,0,0,4,0,0,0,0.1,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Aug-19,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Aug-19,0,21,0,7,1,0,9,0,38,0,0.3,0,0.1,0.1,0,0.1,0,0.1,,,,,,,,,,
Tularaemia,Aug-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
